[0]: begin <Unit,Short,Void,Boolean> #299
[1]: begin_random <Void> #30
[2]: if <Boolean,Void,Short,Float> #3
[4]: set <Int,Short,Boolean,Vehicle,Entity,Float,Unit> #1
[5]: and <Boolean> #7
[6]: or <Boolean> #16
[7]: + <Float> #4
[8]: - <Float> #2
[9]: * <Float> #1
[10]: / <Float> #1
[11]: min <Float> #1
[12]: max <Float> #1
[13]: = <GameDifficulty,Float,Short,Boolean> #2
[15]: > <Short,Float> #2
[16]: < <Float,Short> #2
[17]: >= <Float,Short> #2
[18]: <= <Short,Float> #2
[19]: sleep <Short> #1
[20]: sleep_forever <ScriptReference> #1
[21]: sleep_until <Boolean,Short> #2
[22]: wake <ScriptReference> #1
[24]: unit <Entity> #1
[25]: not <Boolean> #1
[26]: pin <Float> #2
[27]: print <String> #1
[28]: players <> #0
[29]: kill_volume_enable <Trigger> #1
[30]: kill_volume_disable <Trigger> #1
[31]: volume_teleport_players_not_inside <Trigger> #1
[32]: volume_test_object <Trigger> #1
[33]: volume_test_objects <Trigger> #1
[34]: volume_test_objects_all <Trigger> #1
[35]: volume_return_objects <Trigger> #1
[36]: volume_return_objects_by_type <Trigger> #1
[37]: list_get <List,Short> #2
[38]: list_count <List> #1
[39]: list_count_not_dead <List> #1
[40]: effect_new <Effect> #1
[41]: effect_new_on_object_marker <Effect> #1
[42]: damage_new <DamageEffect> #1
[43]: damage_object <DamageEffect> #1
[45]: damage_players <DamageEffect> #1
[46]: object_create <EntityIdentifier> #1
[47]: object_create_clone <EntityIdentifier> #1
[48]: object_create_anew <EntityIdentifier> #1
[49]: object_create_containing <String> #1
[51]: object_create_anew_containing <String> #1
[52]: object_destroy <Entity> #1
[53]: object_destroy_containing <String> #1
[55]: object_destroy_type_mask <Int> #1
[57]: object_hide <Entity,Boolean> #2
[60]: object_set_function_variable <Entity,StringId> #2
[61]: object_clear_function_variable <Entity> #1
[62]: object_clear_all_function_variables <Entity> #1
[63]: object_dynamic_simulation_disable <Entity,Boolean> #2
[64]: object_set_phantom_power <Entity,Boolean> #2
[69]: object_get_health <Entity> #1
[70]: object_get_shield <Entity> #1
[73]: object_get_parent <Entity> #1
[74]: objects_attach <Entity,StringId> #2
[75]: object_at_marker <Entity> #1
[76]: objects_detach <Entity> #2
[77]: object_set_scale <Entity,Float> #2
[78,79]: object_set_velocity <Entity,Float> #2
[80]: object_set_deleted_when_deactivated <Entity> #1
[83]: object_model_targets_destroyed <Entity,StringId> #2
[84]: object_damage_damage_section <Entity,StringId> #2
[85]: object_cannot_die <Entity,Boolean> #2
[87]: garbage_collect_now <> #0
[88]: garbage_collect_unsafe <> #0
[90]: object_cannot_take_damage <List> #1
[91]: object_can_take_damage <List> #1
[92]: object_cinematic_lod <Entity,Boolean> #2
[94]: object_cinematic_visibility <Entity> #1
[95]: object_uses_cinematic_lighting <Entity,Boolean> #2
[96]: cinematic_lighting_set_primary_light <Float> #1
[97]: cinematic_lighting_set_secondary_light <Float> #1
[98]: cinematic_lighting_set_ambient_light <Float> #1
[99]: objects_predict <List> #1
[100]: objects_predict_high <List> #1
[102]: object_type_predict_high <TagReference> #1
[104]: object_type_predict <TagReference> #1
[105]: object_teleport <Entity,LocationFlag> #2
[107]: object_set_shield <Entity,Float> #2
[109]: object_set_shield_stun_infinite <Entity> #1
[110]: object_set_permutation <Entity,StringId> #2
[111]: object_set_region_state <Entity> #1
[112]: objects_can_see_object <List,Entity,Float> #3
[113]: objects_can_see_flag <List,LocationFlag> #2
[114]: objects_distance_to_object <List,Entity> #2
[115]: objects_distance_to_flag <List,LocationFlag> #2
[124]: random_range <Short> #2
[125]: real_random_range <Float> #1
[127]: physics_set_gravity <Float> #1
[128]: physics_set_velocity_frame <Float> #1
[129]: physics_disable_character_ground_adhesion_forces <Float> #1
[144]: texture_camera_set_object_marker <Entity> #1
[145]: texture_camera_off <> #0
[146]: render_lights_enable_cinematic_shadow <Boolean> #1
[185]: scenery_animation_start_loop <Scenery> #1
[186]: scenery_animation_start_relative <Scenery> #1
[190]: scenery_get_animation_time <Scenery> #1
[193]: unit_set_active_camo <Unit> #1
[196]: unit_kill <Unit> #1
[197]: unit_kill_silent <Unit> #1
[198]: unit_is_emitting <Unit> #1
[199]: unit_get_custom_animation_time <Unit> #1
[200]: unit_stop_custom_animation <Unit> #1
[201]: custom_animation <Unit,Animation> #2
[202]: custom_animation_loop <Unit,Animation> #2
[203]: custom_animation_relative <Unit,Animation> #2
[204]: custom_animation_relative_loop <Unit,Animation> #2
[213]: unit_set_enterable_by_player <Unit,Boolean> #2
[215]: unit_only_takes_damage_from_players_team <Unit,Boolean> #2
[220]: unit_set_emotional_state <Unit,StringId> #2
[222]: unit_in_vehicle <Unit> #1
[223]: vehicle_test_seat_list <Vehicle,StringId> #2
[224]: vehicle_test_seat <Vehicle,StringId> #2
[227]: unit_exit_vehicle <Unit,Short> #2
[228]: unit_set_maximum_vitality <Unit,Float> #2
[229]: units_set_maximum_vitality <List,Float> #2
[230]: unit_set_current_vitality <Unit,Float> #2
[231]: units_set_current_vitality <List,Float> #2
[232]: vehicle_load_magic <Entity,VehicleSeat> #2
[233]: vehicle_unload <Entity,VehicleSeat> #2
[237]: vehicle_driver <Unit> #1
[239]: unit_get_health <Unit> #1
[240]: unit_get_shield <Unit> #1
[242]: unit_has_weapon <Unit,TagReference> #2
[247]: unit_doesnt_drop_items <List> #1
[248]: unit_impervious <List,Boolean> #2
[250]: unit_add_equipment <Unit,StartingProfile> #2
[251]: weapon_hold_trigger <WeaponReference> #1
[252]: weapon_enable_warthog_chaingun_light <Boolean> #1
[253]: device_set_never_appears_locked <Device> #1
[254]: device_set_power <Device> #1
[256]: device_set_position <Device> #1
[257]: device_get_position <Device> #1
